,Distribute,Modify,Commercial Use,Hold Liable,Include Copyright,Include License,Sublicense,Use Trademark,Private Use,Disclose Source,State Changes,Place Warranty,Include Notice,Include Original,Give Credit,Use Patent Claims,Rename,Relicense,Contact Author,Include Install Instructions,Compensate for Damages,Statically Link,Pay Above Use Threshold
Apache-2.0,1,1,1,2,3,3,1,2,1,0,3,1,3,0,0,1,0,0,0,0,0,0,0
MIT-license,1,1,1,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS-PL,1,1,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPL-2.0-only,1,1,1,2,3,3,2,0,0,3,3,1,0,3,0,0,0,0,0,0,0,0,0
GPL-3.0-only,1,1,1,2,3,3,2,0,0,3,3,1,0,3,0,1,0,0,0,3,0,0,0
MPL-2.0,1,1,1,2,3,3,1,2,0,3,0,1,0,3,0,1,0,0,0,0,0,0,0
LGPL-2.1-only,1,1,1,2,3,3,2,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0
BSD-2-Clause,1,1,1,2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BSD-3-Clause,1,1,1,2,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zlib,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CDDL-1.0,1,1,1,2,3,3,1,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
CC-BY-3.0,1,1,1,2,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CC-BY-NC-4.0,1,1,2,2,3,0,2,0,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0
AFL,1,1,1,2,3,0,1,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
Artistic-2.0,1,1,1,2,0,0,1,2,1,0,3,0,0,3,0,0,3,0,0,3,0,0,0
PHP-3.0,1,1,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
